variable,Control,HCV
age,32.194229764484405,32.194229764484405
sex,0,0
alb,18.661441143794164,18.661441143794164
alp,59.065251846520425,59.065251846520425
alt,66.26914122175812,66.26914122175812
ast,100,100
bil,40.513198545146594,40.513198545146594
che,32.03373254220578,32.03373254220578
chol,21.75219883727556,21.75219883727556
crea,26.640528728971496,26.640528728971496
ggt,56.372337577264055,56.372337577264055
prot,24.41974357594938,24.41974357594938
